ticker,kpi,model,cell,verdict
WMT,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
WMT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
WMT,revenue,llama3.1:8b-instruct-q4_K_M,A1,incorrect
WMT,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
XOM,eps_diluted,llama3.1:8b-instruct-q4_K_M,A1,incorrect
XOM,net_income,llama3.1:8b-instruct-q4_K_M,A1,correct
XOM,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A1,correct
XOM,revenue,llama3.1:8b-instruct-q4_K_M,A1,incorrect
XOM,total_assets,llama3.1:8b-instruct-q4_K_M,A1,correct
AAPL,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
AAPL,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
AAPL,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
AAPL,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
AAPL,total_assets,llama3.1:8b-instruct-q4_K_M,A2,incorrect
CAT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
CAT,net_income,llama3.1:8b-instruct-q4_K_M,A2,no-ground-truth
CAT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
CAT,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
CAT,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
COST,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
COST,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
COST,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
COST,revenue,llama3.1:8b-instruct-q4_K_M,A2,incorrect
COST,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
JNJ,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
JNJ,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
JNJ,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
JNJ,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
JNJ,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
KO,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
KO,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
KO,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
KO,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
KO,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
MSFT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
MSFT,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
MSFT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
MSFT,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
MSFT,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
NVDA,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
NVDA,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
NVDA,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
NVDA,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
NVDA,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
PG,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
PG,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
PG,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
PG,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
PG,total_assets,llama3.1:8b-instruct-q4_K_M,A2,incorrect
WMT,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
WMT,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
WMT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,correct
WMT,revenue,llama3.1:8b-instruct-q4_K_M,A2,incorrect
WMT,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
XOM,eps_diluted,llama3.1:8b-instruct-q4_K_M,A2,correct
XOM,net_income,llama3.1:8b-instruct-q4_K_M,A2,correct
XOM,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,A2,incorrect
XOM,revenue,llama3.1:8b-instruct-q4_K_M,A2,correct
XOM,total_assets,llama3.1:8b-instruct-q4_K_M,A2,correct
AAPL,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
AAPL,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
AAPL,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,incorrect
AAPL,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
AAPL,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
CAT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
CAT,net_income,llama3.1:8b-instruct-q4_K_M,B1,no-ground-truth
CAT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
CAT,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
CAT,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
COST,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
COST,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
COST,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
COST,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
COST,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
JNJ,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
JNJ,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
JNJ,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
JNJ,revenue,llama3.1:8b-instruct-q4_K_M,B1,incorrect
JNJ,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
KO,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
KO,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
KO,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
KO,revenue,llama3.1:8b-instruct-q4_K_M,B1,incorrect
KO,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
MSFT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
MSFT,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
MSFT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
MSFT,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
MSFT,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
NVDA,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
NVDA,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
NVDA,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
NVDA,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
NVDA,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
PG,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
PG,net_income,llama3.1:8b-instruct-q4_K_M,B1,incorrect
PG,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
PG,revenue,llama3.1:8b-instruct-q4_K_M,B1,correct
PG,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
WMT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
WMT,net_income,llama3.1:8b-instruct-q4_K_M,B1,incorrect
WMT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
WMT,revenue,llama3.1:8b-instruct-q4_K_M,B1,incorrect
WMT,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
XOM,eps_diluted,llama3.1:8b-instruct-q4_K_M,B1,correct
XOM,net_income,llama3.1:8b-instruct-q4_K_M,B1,correct
XOM,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B1,correct
XOM,revenue,llama3.1:8b-instruct-q4_K_M,B1,incorrect
XOM,total_assets,llama3.1:8b-instruct-q4_K_M,B1,correct
AAPL,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
AAPL,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
AAPL,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,incorrect
AAPL,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
AAPL,total_assets,llama3.1:8b-instruct-q4_K_M,B2,incorrect
CAT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
CAT,net_income,llama3.1:8b-instruct-q4_K_M,B2,no-ground-truth
CAT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
CAT,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
CAT,total_assets,llama3.1:8b-instruct-q4_K_M,B2,incorrect
COST,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
COST,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
COST,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
COST,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
COST,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
JNJ,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
JNJ,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
JNJ,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
JNJ,revenue,llama3.1:8b-instruct-q4_K_M,B2,incorrect
JNJ,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
KO,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
KO,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
KO,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
KO,revenue,llama3.1:8b-instruct-q4_K_M,B2,incorrect
KO,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
MSFT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
MSFT,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
MSFT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
MSFT,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
MSFT,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
NVDA,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
NVDA,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
NVDA,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
NVDA,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
NVDA,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
PG,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
PG,net_income,llama3.1:8b-instruct-q4_K_M,B2,incorrect
PG,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
PG,revenue,llama3.1:8b-instruct-q4_K_M,B2,correct
PG,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
WMT,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
WMT,net_income,llama3.1:8b-instruct-q4_K_M,B2,incorrect
WMT,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
WMT,revenue,llama3.1:8b-instruct-q4_K_M,B2,incorrect
WMT,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
XOM,eps_diluted,llama3.1:8b-instruct-q4_K_M,B2,correct
XOM,net_income,llama3.1:8b-instruct-q4_K_M,B2,correct
XOM,operating_cash_flow,llama3.1:8b-instruct-q4_K_M,B2,correct
XOM,revenue,llama3.1:8b-instruct-q4_K_M,B2,incorrect
XOM,total_assets,llama3.1:8b-instruct-q4_K_M,B2,correct
AAPL,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
AAPL,net_income,llama3.2:3b-instruct-q4_K_M,A1,correct
AAPL,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,incorrect
AAPL,revenue,llama3.2:3b-instruct-q4_K_M,A1,correct
AAPL,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
CAT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
CAT,net_income,llama3.2:3b-instruct-q4_K_M,A1,no-ground-truth
CAT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,correct
CAT,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
CAT,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
COST,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
COST,net_income,llama3.2:3b-instruct-q4_K_M,A1,correct
COST,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,incorrect
COST,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
COST,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
JNJ,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
JNJ,net_income,llama3.2:3b-instruct-q4_K_M,A1,correct
JNJ,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,correct
JNJ,revenue,llama3.2:3b-instruct-q4_K_M,A1,correct
JNJ,total_assets,llama3.2:3b-instruct-q4_K_M,A1,incorrect
KO,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,correct
KO,net_income,llama3.2:3b-instruct-q4_K_M,A1,incorrect
KO,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,correct
KO,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
KO,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
MSFT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
MSFT,net_income,llama3.2:3b-instruct-q4_K_M,A1,incorrect
MSFT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,correct
MSFT,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
MSFT,total_assets,llama3.2:3b-instruct-q4_K_M,A1,incorrect
NVDA,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
NVDA,net_income,llama3.2:3b-instruct-q4_K_M,A1,correct
NVDA,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,correct
NVDA,revenue,llama3.2:3b-instruct-q4_K_M,A1,correct
NVDA,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
PG,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,incorrect
PG,net_income,llama3.2:3b-instruct-q4_K_M,A1,incorrect
PG,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,incorrect
PG,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
PG,total_assets,llama3.2:3b-instruct-q4_K_M,A1,incorrect
WMT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,correct
WMT,net_income,llama3.2:3b-instruct-q4_K_M,A1,incorrect
WMT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,incorrect
WMT,revenue,llama3.2:3b-instruct-q4_K_M,A1,incorrect
WMT,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
XOM,eps_diluted,llama3.2:3b-instruct-q4_K_M,A1,correct
XOM,net_income,llama3.2:3b-instruct-q4_K_M,A1,correct
XOM,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A1,incorrect
XOM,revenue,llama3.2:3b-instruct-q4_K_M,A1,correct
XOM,total_assets,llama3.2:3b-instruct-q4_K_M,A1,correct
AAPL,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
AAPL,net_income,llama3.2:3b-instruct-q4_K_M,A2,correct
AAPL,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,incorrect
AAPL,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
AAPL,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
CAT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
CAT,net_income,llama3.2:3b-instruct-q4_K_M,A2,no-ground-truth
CAT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,correct
CAT,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
CAT,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
COST,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,incorrect
COST,net_income,llama3.2:3b-instruct-q4_K_M,A2,correct
COST,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,incorrect
COST,revenue,llama3.2:3b-instruct-q4_K_M,A2,incorrect
COST,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
JNJ,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
JNJ,net_income,llama3.2:3b-instruct-q4_K_M,A2,incorrect
JNJ,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,incorrect
JNJ,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
JNJ,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
KO,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
KO,net_income,llama3.2:3b-instruct-q4_K_M,A2,correct
KO,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,correct
KO,revenue,llama3.2:3b-instruct-q4_K_M,A2,incorrect
KO,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
MSFT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
MSFT,net_income,llama3.2:3b-instruct-q4_K_M,A2,incorrect
MSFT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,correct
MSFT,revenue,llama3.2:3b-instruct-q4_K_M,A2,incorrect
MSFT,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
NVDA,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
NVDA,net_income,llama3.2:3b-instruct-q4_K_M,A2,correct
NVDA,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,correct
NVDA,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
NVDA,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
PG,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
PG,net_income,llama3.2:3b-instruct-q4_K_M,A2,incorrect
PG,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,incorrect
PG,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
PG,total_assets,llama3.2:3b-instruct-q4_K_M,A2,incorrect
WMT,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
WMT,net_income,llama3.2:3b-instruct-q4_K_M,A2,incorrect
WMT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,correct
WMT,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
WMT,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
XOM,eps_diluted,llama3.2:3b-instruct-q4_K_M,A2,correct
XOM,net_income,llama3.2:3b-instruct-q4_K_M,A2,incorrect
XOM,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,A2,incorrect
XOM,revenue,llama3.2:3b-instruct-q4_K_M,A2,correct
XOM,total_assets,llama3.2:3b-instruct-q4_K_M,A2,correct
AAPL,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
AAPL,net_income,llama3.2:3b-instruct-q4_K_M,B1,correct
AAPL,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
AAPL,revenue,llama3.2:3b-instruct-q4_K_M,B1,correct
AAPL,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
CAT,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
CAT,net_income,llama3.2:3b-instruct-q4_K_M,B1,no-ground-truth
CAT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
CAT,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
CAT,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
COST,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
COST,net_income,llama3.2:3b-instruct-q4_K_M,B1,incorrect
COST,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,correct
COST,revenue,llama3.2:3b-instruct-q4_K_M,B1,correct
COST,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
JNJ,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
JNJ,net_income,llama3.2:3b-instruct-q4_K_M,B1,incorrect
JNJ,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,correct
JNJ,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
JNJ,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
KO,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
KO,net_income,llama3.2:3b-instruct-q4_K_M,B1,correct
KO,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
KO,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
KO,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
MSFT,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
MSFT,net_income,llama3.2:3b-instruct-q4_K_M,B1,incorrect
MSFT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
MSFT,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
MSFT,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
NVDA,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
NVDA,net_income,llama3.2:3b-instruct-q4_K_M,B1,correct
NVDA,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
NVDA,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
NVDA,total_assets,llama3.2:3b-instruct-q4_K_M,B1,correct
PG,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,correct
PG,net_income,llama3.2:3b-instruct-q4_K_M,B1,incorrect
PG,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
PG,revenue,llama3.2:3b-instruct-q4_K_M,B1,correct
PG,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
WMT,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,incorrect
WMT,net_income,llama3.2:3b-instruct-q4_K_M,B1,incorrect
WMT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,correct
WMT,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
WMT,total_assets,llama3.2:3b-instruct-q4_K_M,B1,incorrect
XOM,eps_diluted,llama3.2:3b-instruct-q4_K_M,B1,correct
XOM,net_income,llama3.2:3b-instruct-q4_K_M,B1,correct
XOM,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B1,incorrect
XOM,revenue,llama3.2:3b-instruct-q4_K_M,B1,incorrect
XOM,total_assets,llama3.2:3b-instruct-q4_K_M,B1,correct
AAPL,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,incorrect
AAPL,net_income,llama3.2:3b-instruct-q4_K_M,B2,correct
AAPL,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,incorrect
AAPL,revenue,llama3.2:3b-instruct-q4_K_M,B2,correct
AAPL,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
CAT,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,correct
CAT,net_income,llama3.2:3b-instruct-q4_K_M,B2,no-ground-truth
CAT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,incorrect
CAT,revenue,llama3.2:3b-instruct-q4_K_M,B2,incorrect
CAT,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
COST,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,incorrect
COST,net_income,llama3.2:3b-instruct-q4_K_M,B2,incorrect
COST,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,correct
COST,revenue,llama3.2:3b-instruct-q4_K_M,B2,correct
COST,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
JNJ,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,incorrect
JNJ,net_income,llama3.2:3b-instruct-q4_K_M,B2,incorrect
JNJ,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,incorrect
JNJ,revenue,llama3.2:3b-instruct-q4_K_M,B2,incorrect
JNJ,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
KO,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,incorrect
KO,net_income,llama3.2:3b-instruct-q4_K_M,B2,incorrect
KO,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,incorrect
KO,revenue,llama3.2:3b-instruct-q4_K_M,B2,incorrect
KO,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
MSFT,eps_diluted,llama3.2:3b-instruct-q4_K_M,B2,incorrect
MSFT,net_income,llama3.2:3b-instruct-q4_K_M,B2,incorrect
MSFT,operating_cash_flow,llama3.2:3b-instruct-q4_K_M,B2,correct
MSFT,revenue,llama3.2:3b-instruct-q4_K_M,B2,incorrect
MSFT,total_assets,llama3.2:3b-instruct-q4_K_M,B2,incorrect
